OML UID,Entity / Source,Survey Type,Status,Assignee,Neighborhood,Zone,Building condition,Lat,Long,Address,Building Entrance | مدخل البناية,Building Door Entrance | باب المدخل البناية,Water Collection | خزان تجميع المياه,Water Pump | مضخات مياه,Water Distribution Tank | خزان توزيع مياه,Water Main Supply | امدادات رئيسية للمياه,Electricity Room | غرفة الكهرباء,Electricity Main Supply | امدادات الكهرباء الرئيسية,Sanitation Main Supply | إمدادات الصرف الصحي الرئيسية,Sanitation Winter Water | مياه الشتاء,Building Glasses | زجاج المبنى,Building HandRail | درابزين المبنى,Building Balcony | برندات المبنى,Building Exterior | تلبيس المبنى,Building Structure Damage | جسم المبنى,Building Surface Isolation | عزل المبنى,Building Roof | سطح المبنى,,,,,,,,Damaged Doors,,Supplier UID,Survey Date,,,,,,,,,,,,,,,,,,,,,,,,,
FE39,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.894417,35.520214,0,Minor | طفيف,Major | كبير,Major | كبير,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,,,,,,,,Minor | طفيف,Minor | طفيف,,,,,,,,,All of them,,116043637,2020-08-13T13:44:16.825+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE40,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.891725,35.513052,65,Major | كبير,Major | كبير,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,,,,,,,,,,116043765,2020-08-13T13:26:42.758+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE41,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.893065,35.533651,65,,,,,,,,,,,Major | كبير,,,,,,,,,,,,,,,,116044365,2020-08-13T13:43:55.892+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE42,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.891682,35.512978,65,Major | كبير,Minor | طفيف,,,,,,,,,,,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,,,,,,,,,,,116044760,2020-08-13T13:53:17.392+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE43,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.891695,35.513312,65,Major | كبير,Minor | طفيف,,,,,,,,,Major | كبير,Minor | طفيف,Minor | طفيف,Major | كبير,Minor | طفيف,Minor | طفيف,,,,,,,,,,,116046018,2020-08-13T13:58:38.564+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE44,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.892879,35.533685,17.857999801635742,,,,,,,,,,,Minor | طفيف,,,,,,,,,,,,,,,,116046456,2020-08-13T13:55:52.269+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE45,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.891454,35.512847,37.4010009765625,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Major | كبير,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,,,,,,,,5 aluminum 1 wood,,116047148,2020-08-13T13:50:59.868+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE46,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.891684,35.51333,65,Minor | طفيف,Minor | طفيف,,,,,,,,,Major | كبير,Minor | طفيف,Minor | طفيف,,,,,,,,,,,,,,116047329,2020-08-13T14:04:21.436+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE47,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.891044,35.512963,13.383000373840332,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Major | كبير,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,,,,,,,,Indoor wooden door outdoor aluminum door aluminum windows fcades,,116047565,2020-08-13T14:06:25.438+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE48,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.891262,35.513628,65,Major | كبير,Major | كبير,Minor | طفيف,Major | كبير,Major | كبير,Minor | طفيف,Major | كبير,Major | كبير,Minor | طفيف,Minor | طفيف,Major | كبير,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,,,,,,,,,,,116049392,2020-08-13T14:10:33.908+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE49,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.893036,35.533581,65,,,,,,,,,,,Major | كبير,,,,,,,,,,,,,,,,116049456,2020-08-13T13:53:58.479+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE50,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.977295,35.610115,23.600000381469727,,,,,,,,,,,,,,,,,,,,,,,,,3,,116050258,2020-08-13T14:06:49.169+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE51,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.891044,35.512963,13.383000373840332,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Major | كبير,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,,,,,,,,,,116050821,2020-08-13T14:11:33.120+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE52,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.890992,35.512853,13.413000106811523,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Severe | شديد,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,,,,,,,,,,116052616,2020-08-13T14:25:05.252+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE53,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.89322,35.533554,15.675000190734863,,,,,,,,,,,Minor | طفيف,,,,,,,,,,,,,,1,,116052856,2020-08-13T14:18:22.666+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE54,Frontline Engineers,Shelter,Unknown,,,,"No Damage, No evacuation",33.893081,35.533674,65,,,,,,,,,,,Major | كبير,,,,,,,,,,,,,,,,116052963,2020-08-13T14:04:29.730+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE55,Frontline Engineers,Shelter,Unknown,,,,"No Damage, No evacuation",33.893108,35.533075,17.115999221801758,,,,,,,,,,,,,,,,,,,,,,,,,1,,116214285,2020-08-14T10:31:37.594+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE56,Frontline Engineers,Shelter,Unknown,,,,,33.893108,35.533075,17.115999221801758,,Minor | طفيف,,,,,,,,,,,,,,,,,,,,,,,2,,116215321,2020-08-14T10:42:22.485+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE57,Frontline Engineers,Shelter,Unknown,,,,,33.893108,35.533075,17.115999221801758,,,,,,,,,,,,,,,,,,,,,,,,,3(2 ocardion 1 maintenance,,116215956,2020-08-14T10:54:23.230+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE58,Frontline Engineers,Shelter,Unknown,,,,"No Damage, No evacuation",33.89327,35.533197,15.175999641418457,,,,,,,,,,,,,,,,,,,,,,,,,,,116219338,2020-08-14T11:21:02.541+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE59,Frontline Engineers,Shelter,Unknown,,,,,33.89327,35.533197,15.175999641418457,,,,,,,,,,,,,,,,,,,,,,,,,,,116220738,2020-08-14T11:31:58.736+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE60,Frontline Engineers,Shelter,Unknown,,,,,33.893375,35.533039,23.315000534057617,,,,,,,,,,,,,,,,,,,,,,,,,,,116226217,2020-08-14T12:05:37.969+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE61,Frontline Engineers,Shelter,Unknown,,,,,33.89331,35.532904,24.667999267578125,,,,,,,,,,,,,,,,,,,,,,,,,3,,116229458,2020-08-14T12:21:32.000+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE62,Frontline Engineers,Shelter,Unknown,,,,,33.89331,35.532904,24.667999267578125,,,,,,,,,,,,,,,,,,,,,,,,,2,,116230212,2020-08-14T12:46:32.228+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE63,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.893601,35.533713,17.047000885009766,,,,,,,,,,,Major | كبير,,,,,,,,,,,,,,,,116377558,2020-08-15T10:00:12.853+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
