OML UID,Entity / Source,Survey Type,Status,Assignee,Neighborhood,Zone,Supplier UID,Survey Date,Lat,Long
RB169,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1062329703,2020-08-10 20:23:04,,
RB170,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1062338952,2020-08-10 20:27:39,,
RB171,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1062406602,2020-08-10 20:59:41,,
RB172,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1062427122,2020-08-10 21:09:12,,
RB173,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1062445202,2020-08-10 21:17:23,,
RB174,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1062682482,2020-08-10 23:22:25,,
RB175,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1063064692,2020-08-11 08:04:41,,
RB176,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1063092732,2020-08-11 08:21:01,,
RB177,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1063175202,2020-08-11 09:03:48,,
RB178,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1063319202,2020-08-11 10:07:17,,
RB179,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1063393892,2020-08-11 10:37:52,,
RB180,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1063412292,2020-08-11 10:45:14,,
RB181,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1063425532,2020-08-11 10:50:32,,
RB182,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1063440662,2020-08-11 10:56:01,,
RB183,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1063575232,2020-08-11 11:47:26,,
RB184,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1063580892,2020-08-11 11:49:33,,
RB185,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1063599272,2020-08-11 11:56:45,,
