OML UID,Entity / Source,Survey Type,Status,Assignee,Lat,Long,Neighborhood,Zone,#REF!
NK156,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK157,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK158,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK159,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK160,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK161,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK162,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK163,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK164,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK165,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK166,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK167,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK168,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK169,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK170,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK171,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK172,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK173,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK174,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK175,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK176,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK177,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK178,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK179,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK180,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK181,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK182,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK183,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK184,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK185,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK186,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK187,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK188,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK189,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK190,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK191,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK192,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK193,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK194,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK195,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK196,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK197,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK198,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
