OML UID,Entity / Source,Survey Type,Status,Assignee,Neighborhood,Zone,Lat,Long
BC167,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.897253,35.533874
BC168,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.897469,35.527139
BC169,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.90215,35.523485
BC170,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,,
BC171,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.897311,35.533707
BC172,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8965517,35.521011
BC173,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8944731,35.5384192
BC174,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8944731,35.5384192
BC175,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8960163,35.5265256
BC176,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.897253,35.533874
BC177,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8944731,35.5384192
BC178,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8949515,35.537873
BC179,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8944731,35.5384192
BC180,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8965517,35.521011
BC181,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,,
BC182,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.895996,35.512569
BC183,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.896827,35.510531
BC184,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,,
BC185,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8965517,35.521011
BC186,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8944731,35.5384192
BC187,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8965765,35.5269578
BC188,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8971111,35.5272411
BC189,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8952568,35.5193993
BC190,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,,
BC191,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.896826,35.510531
BC192,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.897022,35.53374
BC193,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.895332,35.517784
BC194,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.896411,35.534547
BC195,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.897035,35.534056
BC196,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.897043,35.533729
BC197,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.897043,35.533729
BC198,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.897311,35.533707
BC199,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.897043,35.533729
BC200,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8947511,35.5378697
BC201,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8927025,35.5360783
BC202,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8927025,35.5360783
BC203,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.9013989,35.5285979
BC204,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8946003,35.5205004
BC205,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.9013989,35.5285979
BC206,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8948819,35.5201745
BC207,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8950219,35.5186148
BC208,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.897007.526013,
BC209,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8931308,35.5264193
BC210,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8902653,35.5427147
BC211,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8963199,35.5262822
BC212,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.896827,35.510531
BC213,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8947887,35.5376279
BC214,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8936891,35.527867
BC215,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8942641,35.5374553
BC216,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.896527,35.533814
BC217,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8965467,35.5266547
BC218,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8939234,35.5378522
BC219,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8963199,35.5262822
