OML UID,Entity / Source,Survey Type,Status,Assignee,Survey Date,Zone,Neighborhood حي,Building Exterior Assessment التقييم الخارجي للمبنى,Lat,Long,Supplier UID
VC378,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,61,Karm el Zeitoun كرم الزيتون,Good جيد,33.888896,35.528011,116950963
VC379,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,63,Other آخر,Good جيد,33.88275,35.517291,116951332
VC380,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,23,Rmeil الرميل,Needs Repair يحتاج إصلاح,33.894368,35.520675,116951562
VC381,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,61,Karm el Zeitoun كرم الزيتون,Good جيد,33.888896,35.528011,116952691
VC382,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,61,Ghabi غابي,Good جيد,33.888,35.752,116952991
VC383,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,61,Karm el Zeitoun كرم الزيتون,Good جيد,33.888896,35.528011,116954378
VC384,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,23,Rmeil الرميل,Needs Repair يحتاج إصلاح,33.894368,35.520675,116957767
VC385,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,23,Rmeil الرميل,Needs Repair يحتاج إصلاح,33.8944753,35.520611,116958211
VC386,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,63,Other آخر,Good جيد,33.883109,35.517298,116960375
VC387,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,61,Karm el Zeitoun كرم الزيتون,Good جيد,33.888938,35.528126,116961389
VC388,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,23,Rmeil الرميل,Needs Repair يحتاج إصلاح,33.894526,35.52058,116961931
VC389,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,61,Karm el Zeitoun كرم الزيتون,Good جيد,33.888938,35.528126,116963026
VC390,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,23,Rmeil الرميل,Needs Repair يحتاج إصلاح,33.894526,35.52058,116965903
VC391,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,63,Other آخر,Good جيد,33.880075,35.517162,116966244
VC392,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,61,Karm el Zeitoun كرم الزيتون,Good جيد,33.888931,35.528175,116968482
VC393,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,61,Ghabi غابي,Good جيد,33.888,35.852,116970279
